Date,LQI
1,1
2,102
3,107
4,85
5,1
6,104
7,104
8,102
9,1
10,1
11,101
12,100
13,103
14,102
15,104
16,103
17,1
18,1
19,103
20,100
21,102
22,1
23,1
24,98
25,102
26,102
27,104
28,104
29,100
30,104
31,92
32,1
33,102
34,101
35,99
36,102
37,100
38,99
39,103
40,95
41,101
42,103
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,100
56,1
57,1
58,1
59,1
60,102
61,1
62,1
63,1
64,1
65,105
66,1
67,1
68,1
69,1
70,106
71,1
72,1
73,1
74,1
75,1
76,107
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,104
101,1
102,1
103,1
104,1
105,104
106,1
107,1
108,1
109,1
110,1
111,105
112,1
113,1
114,1
115,1
116,106
117,105
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,105
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,106
145,1
146,1
147,1
148,107
149,1
150,1
151,1
152,1
153,1
154,105
155,106
156,105
157,107
158,105
159,106
160,1
161,102
162,1
163,105
164,100
165,102
166,1
167,1
168,1
169,1
170,100
171,1
172,95
173,1
174,103
175,91
176,1
177,104
178,101
179,104
180,103
181,1
182,102
183,105
184,98
185,1
186,1
187,1
188,103
189,1
190,100
191,104
192,102
193,105
194,1
195,101
196,1
197,99
198,1
199,1
200,103
201,102
202,1
203,1
204,1
205,105
206,103
207,101
208,1
209,102
210,1
211,103
212,1
213,99
214,1
215,104
216,1
217,1
218,1
219,1
220,102
221,100
222,104
223,104
224,101
225,98
226,100
227,100
228,102
229,101
230,102
231,100
232,103
233,101
234,102
235,103
236,103
237,102
238,102
239,102
240,102
241,97
242,103
243,102
244,103
245,102
246,102
247,104
248,102
249,102
250,103
251,95
252,104
253,98
254,104
255,106
256,104
257,103
258,106
259,101
260,100
261,101
262,100
263,105
264,104
265,102
266,103
267,103
268,100
269,104
270,106
271,103
272,105
273,103
274,101
275,102
276,99
277,105
278,96
279,102
280,103
281,100
282,102
283,106
284,101
285,103
286,102
287,105
288,102
289,102
290,103
291,101
292,103
293,105
294,101
295,99
296,1
297,99
298,100
299,104
300,103
301,103
302,101
303,104
304,102
305,104
306,105
307,102
308,104
309,102
310,104
311,104
312,103
313,103
314,101
315,100
316,99
317,100
318,102
319,103
320,105
321,101
322,104
323,101
324,104
325,104
326,104
327,101
328,102
329,104
330,102
331,104
332,105
333,102
334,104
335,104
336,102
337,105
338,99
339,102
340,104
341,1
342,105
343,101
344,105
345,1
346,103
347,1
348,101
349,104
350,104
351,1
352,1
353,1
354,1
355,1
356,59
357,98
358,101
359,101
360,103
361,104
362,105
363,103
364,1
365,105
366,101
367,101
368,95
369,105
370,102
371,99
372,103
373,101
374,103
375,104
376,101
377,1
378,1
379,105
380,101
381,1
382,101
383,101
384,102
385,100
386,1
387,99
388,1
389,104
390,101
391,1
392,104
393,103
394,101
395,99
396,103
397,101
398,103
399,102
400,103
401,100
402,103
403,104
404,102
405,102
406,102
407,95
408,103
409,102
410,103
411,104
412,103
413,97
414,105
415,106
416,100
417,101
418,99
419,101
420,102
421,104
422,104
423,105
424,105
425,100
426,97
427,103
428,101
429,102
430,101
431,106
432,101
433,99
434,104
435,103
436,105
437,102
438,106
439,102
440,103
441,103
442,103
443,100
444,105
445,104
446,100
447,105
448,102
449,104
450,104
451,100
452,103
453,102
454,102
455,101
456,103
457,105
458,104
459,98
460,96
461,100
462,104
463,102
464,103
465,101
466,101
467,102
468,101
469,106
470,101
471,100
472,104
473,103
474,101
475,99
476,105
477,100
478,103
479,104
480,104
481,102
482,102
483,104
484,100
485,103
486,105
487,105
488,106
489,98
490,99
491,100
492,103
493,100
494,101
495,102
496,99
497,99
498,100
499,1
500,103
501,103
502,101
503,104
504,100
505,102
506,101
507,1
508,99
509,1
510,103
511,103
512,99
513,1
514,1
515,103
516,104
517,106
518,98
519,100
520,99
521,1
522,1
523,100
524,100
525,75
526,101
527,1
528,104
529,1
530,101
531,1
532,102
533,105
534,101
535,100
536,101
537,104
538,1
539,103
540,103
541,101
542,1
543,1
544,1
545,1
546,104
547,101
548,99
549,102
550,104
551,100
552,1
553,1
554,101
555,102
556,104
557,1
558,1
559,102
560,102
561,103
562,100
563,106
564,103
565,105
566,101
567,102
568,84
569,105
570,90
571,96
572,1
573,1
574,100
575,99
576,1
577,1
578,105
579,1
580,1
581,104
582,104
583,106
584,1
585,97
586,100
587,1
588,103
589,102
590,1
591,103
592,101
593,102
594,104
595,102
596,1
597,1
598,103
599,103
600,1
601,102
602,103
603,103
604,103
605,103
606,98
607,102
608,99
609,1
610,1
611,103
612,1
613,103
614,104
615,102
616,102
617,102
618,1
619,100
620,102
621,101
622,102
623,103
624,100
625,106
626,100
627,104
628,103
629,104
630,102
631,1
632,102
633,1
634,105
635,101
636,100
637,105
638,102
639,103
640,101
641,103
642,1
643,101
644,103
645,1
646,1
647,105
648,99
649,105
650,98
651,100
652,1
653,1
654,101
655,102
656,99
657,1
658,104
659,99
660,102
661,98
662,107
663,102
664,102
665,1
666,1
667,104
668,1
669,103
670,104
671,1
672,1
673,1
674,104
675,103
676,103
677,104
678,104
679,103
680,1
681,1
682,1
683,1
684,104
685,1
686,1
687,100
688,100
689,1
690,1
691,103
692,102
693,1
694,104
695,1
696,101
697,1
698,102
699,1
700,1
701,102
