Date,LQI
1,1
2,101
3,105
4,1
5,87
6,103
7,105
8,101
9,1
10,100
11,101
12,102
13,103
14,103
15,101
16,104
17,103
18,96
19,102
20,1
21,100
22,106
23,102
24,1
25,1
26,1
27,104
28,107
29,1
30,99
31,104
32,1
33,103
34,1
35,101
36,102
37,105
38,1
39,102
40,1
41,1
42,99
43,103
44,99
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,106
60,1
61,1
62,102
63,1
64,1
65,106
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,104
112,1
113,1
114,105
115,1
116,106
117,78
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,106
145,1
146,1
147,1
148,1
149,106
150,1
151,107
152,1
153,103
154,106
155,106
156,105
157,105
158,107
159,105
160,104
161,103
162,1
163,1
164,1
165,1
166,1
167,92
168,103
169,1
170,102
171,104
172,1
173,1
174,1
175,1
176,1
177,102
178,1
179,104
180,104
181,95
182,104
183,97
184,99
185,1
186,1
187,103
188,104
189,1
190,101
191,1
192,101
193,102
194,1
195,1
196,104
197,102
198,1
199,97
200,101
201,1
202,102
203,1
204,105
205,105
206,1
207,1
208,105
209,1
210,1
211,1
212,1
213,104
214,104
215,1
216,1
217,1
218,103
219,103
220,104
221,1
222,103
223,102
224,1
225,103
226,104
227,103
228,104
229,102
230,102
231,102
232,103
233,100
234,104
235,104
236,101
237,102
238,104
239,106
240,102
241,99
242,100
243,100
244,102
245,102
246,101
247,102
248,102
249,103
250,106
251,85
252,104
253,104
254,101
255,101
256,104
257,104
258,104
259,1
260,102
261,105
262,104
263,105
264,104
265,103
266,103
267,100
268,99
269,104
270,104
271,101
272,106
273,105
274,102
275,103
276,103
277,100
278,104
279,105
280,104
281,104
282,100
283,99
284,103
285,103
286,101
287,101
288,105
289,103
290,102
291,105
292,105
293,102
294,103
295,99
296,102
297,97
298,98
299,103
300,102
301,104
302,105
303,103
