Date,LQI
1,1
2,101
3,105
4,1
5,1
6,106
7,101
8,102
9,1
10,100
11,104
12,101
13,103
14,101
15,98
16,106
17,1
18,1
19,103
20,1
21,94
22,102
23,100
24,1
25,105
26,1
27,106
28,103
29,101
30,102
31,103
32,99
33,1
34,1
35,104
36,98
37,105
38,100
39,1
40,1
41,1
42,101
43,102
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,103
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,104
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,105
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,106
112,1
113,1
114,1
115,94
116,105
117,106
118,1
119,1
120,1
121,1
122,1
123,1
124,107
125,1
126,1
127,1
128,1
129,1
130,1
131,106
132,88
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,106
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,107
153,106
154,1
155,106
156,106
157,105
158,1
159,1
160,1
161,1
162,100
163,102
164,1
165,100
166,1
167,1
168,1
169,1
170,1
171,100
172,93
173,105
174,1
175,104
176,105
177,1
178,1
179,99
180,102
181,95
182,103
183,100
184,103
185,1
186,106
187,102
188,1
189,1
190,99
191,1
192,103
193,1
194,105
195,1
196,1
197,1
198,104
199,1
200,1
201,1
202,103
203,1
204,98
205,105
206,101
207,1
208,101
209,1
210,103
211,1
212,100
213,1
214,104
215,105
216,1
217,101
218,99
219,1
220,103
221,94
222,104
223,1
224,1
225,101
226,103
227,101
228,101
229,103
230,96
231,102
232,103
233,103
234,103
235,104
236,101
237,1
238,99
239,103
240,102
241,98
242,100
243,105
244,104
245,97
246,100
247,104
248,105
249,105
250,102
251,99
252,104
253,104
254,101
255,105
256,104
257,103
258,105
259,104
260,103
261,104
262,100
263,103
264,102
265,104
266,102
267,105
268,100
269,102
270,105
271,102
272,1
273,104
274,102
275,103
276,98
277,88
278,103
279,102
280,101
281,105
282,103
283,101
284,102
285,102
286,102
287,103
288,105
289,104
290,102
291,103
292,102
293,103
294,100
295,102
296,104
297,1
298,104
299,101
300,101
301,104
302,103
303,100
