Date,LQI
1,1
2,104
3,108
4,1
5,1
6,97
7,101
8,103
9,1
10,102
11,1
12,104
13,99
14,103
15,100
16,104
17,1
18,104
19,102
20,1
21,104
22,98
23,103
24,101
25,1
26,1
27,1
28,106
29,103
30,102
31,97
32,101
33,1
34,97
35,102
36,1
37,95
38,97
39,105
40,1
41,1
42,1
43,1
44,103
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,105
59,106
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,80
81,105
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,106
103,105
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,107
112,1
113,1
114,1
115,1
116,107
117,1
118,1
119,1
120,1
121,1
122,1
123,105
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,102
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,69
142,1
143,1
144,104
145,1
146,1
147,1
148,105
149,1
150,1
151,107
152,1
153,108
154,1
155,107
156,1
157,107
158,106
159,106
160,105
161,100
162,1
163,1
164,102
165,1
166,1
167,101
168,1
169,1
170,104
171,104
172,101
173,1
174,102
175,1
176,102
177,103
178,1
179,1
180,105
181,94
182,99
183,104
184,105
185,1
186,1
187,1
188,101
189,1
190,105
191,1
192,100
193,1
194,1
195,1
196,100
197,103
198,104
199,103
200,99
201,104
202,103
203,1
204,105
205,104
206,1
207,100
208,105
209,1
210,1
211,1
212,1
213,1
214,102
215,99
216,1
217,99
218,103
219,103
220,105
221,1
222,104
223,102
224,101
225,102
226,106
227,103
228,102
229,102
230,96
231,102
232,102
233,105
234,103
235,100
236,104
237,102
238,103
239,101
240,104
241,95
242,101
243,104
244,102
245,105
246,1
247,100
248,102
249,102
250,105
251,75
252,105
253,100
254,104
255,104
256,98
257,103
258,103
259,107
260,101
261,102
262,1
263,105
264,103
265,100
266,105
267,102
268,106
269,99
270,104
271,102
272,103
273,100
274,103
275,1
276,103
277,97
278,103
279,106
280,102
281,100
282,104
283,104
284,104
285,103
286,102
287,102
288,101
289,103
290,100
291,103
292,100
293,103
294,1
295,104
296,106
297,102
298,104
299,101
300,104
301,100
302,104
303,102
304,100
305,95
306,101
307,104
308,97
309,105
310,100
311,101
312,105
313,102
314,102
315,104
316,105
317,101
318,105
319,102
320,104
321,104
322,100
323,104
324,103
325,100
326,105
327,101
328,1
329,104
330,105
331,104
332,105
333,101
334,100
335,101
336,101
337,103
338,1
339,102
340,104
341,105
342,102
343,1
344,103
345,1
346,1
347,105
348,103
349,100
350,101
351,105
352,102
353,102
354,1
355,101
356,101
357,104
358,1
359,102
360,1
361,1
362,103
363,102
364,102
365,102
366,101
367,103
368,1
369,1
370,104
371,104
372,1
373,104
374,104
375,104
376,100
