Date,LQI
1,1
2,1
3,105
4,76
5,1
6,1
7,104
8,104
9,1
10,102
11,101
12,104
13,102
14,1
15,103
16,91
17,101
18,1
19,105
20,101
21,97
22,104
23,103
24,1
25,1
26,100
27,106
28,1
29,95
30,102
31,103
32,102
33,1
34,100
35,106
36,102
37,1
38,104
39,102
40,100
41,1
42,1
43,101
44,1
45,1
46,1
47,1
48,1
49,1
50,98
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,102
59,1
60,1
61,1
62,1
63,1
64,1
65,106
66,1
67,1
68,1
69,105
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,104
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,105
112,1
113,1
114,107
115,1
116,1
117,86
118,73
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,105
145,1
146,1
147,1
148,1
149,1
150,1
151,107
152,103
153,1
154,105
155,106
156,105
157,1
158,1
159,105
160,1
161,1
162,102
163,1
164,1
165,1
166,1
167,100
168,1
169,1
170,101
171,1
172,91
173,104
174,1
175,1
176,104
177,1
178,1
179,103
180,102
181,1
182,102
183,1
184,103
185,1
186,100
187,101
188,1
189,1
190,1
191,1
192,106
193,1
194,101
195,105
196,102
197,1
198,1
199,104
200,103
201,1
202,104
203,104
204,1
205,107
206,101
207,1
208,1
209,1
210,99
211,1
212,103
213,101
214,105
215,99
216,1
217,1
218,1
219,103
220,103
221,100
222,104
223,104
224,103
225,105
226,100
227,102
228,101
229,103
230,100
231,105
232,103
233,102
234,101
235,104
236,99
237,104
238,102
239,103
240,104
241,99
242,103
243,102
244,101
245,106
246,102
247,106
248,100
249,100
250,103
251,96
252,105
253,102
254,103
255,104
256,105
257,103
258,98
259,101
260,104
261,99
262,103
263,100
264,101
265,102
266,102
267,102
268,100
269,103
270,94
271,101
272,97
273,102
274,102
275,103
276,98
277,103
278,104
279,104
280,105
281,103
282,102
283,104
284,98
285,104
286,97
287,103
288,103
289,104
290,104
291,100
292,99
293,101
294,106
295,103
296,101
297,102
298,104
299,103
300,97
301,102
302,103
303,103
304,101
305,101
306,102
307,103
308,103
309,104
310,98
311,103
312,104
313,101
314,102
315,106
316,102
317,104
318,99
319,103
320,101
321,103
322,103
323,102
324,103
325,100
326,102
327,101
328,106
329,102
330,103
331,103
332,101
333,103
334,98
335,102
336,105
337,100
338,105
339,104
340,103
341,104
342,101
343,103
344,102
345,1
346,1
347,103
348,103
349,1
350,105
351,105
352,1
353,98
354,1
355,1
356,98
357,99
358,105
359,96
360,104
361,1
362,1
363,1
364,105
365,102
366,99
367,1
368,103
369,1
370,105
371,102
372,101
373,101
374,1
375,100
376,1
377,102
378,101
379,106
380,103
381,99
382,101
383,1
384,105
385,1
386,1
387,99
388,1
389,103
390,98
391,1
392,105
393,105
394,101
395,103
396,98
397,100
398,104
399,103
400,105
401,105
402,101
403,102
404,103
405,100
406,107
407,102
408,99
409,101
410,99
411,105
412,101
413,102
414,90
415,103
416,104
417,102
418,101
419,103
420,103
421,102
422,104
423,87
424,100
425,104
426,103
427,100
428,101
429,102
430,104
431,102
432,104
433,100
434,104
435,101
436,100
437,100
438,102
439,103
440,100
441,101
442,105
443,98
444,102
445,103
446,99
447,101
448,100
449,104
450,102
451,105
452,101
453,101
454,104
455,105
456,102
457,105
458,71
459,104
460,101
461,104
462,103
463,102
464,102
465,102
466,97
467,96
468,104
469,97
470,100
471,102
472,103
473,103
474,101
475,102
476,102
477,101
478,101
479,101
480,102
481,101
482,99
483,106
484,101
485,102
486,103
487,104
488,104
489,102
490,102
491,102
492,101
493,99
494,102
495,104
496,100
497,100
498,95
499,102
500,106
501,105
502,105
503,104
504,104
505,100
506,104
507,103
508,102
509,102
510,99
511,105
512,104
513,104
514,105
515,1
516,96
517,98
518,102
519,102
520,102
521,1
522,105
523,105
524,103
525,103
526,1
527,104
528,102
529,1
530,103
531,103
532,102
533,102
534,1
535,1
536,1
537,1
538,105
539,99
540,1
541,99
542,1
543,102
544,104
545,1
546,102
547,96
548,104
549,1
550,100
551,101
552,1
553,105
554,100
555,1
556,101
557,103
558,1
559,105
560,1
561,104
562,101
563,105
564,104
565,102
566,97
567,101
568,1
569,98
570,104
571,103
572,1
573,103
574,101
575,101
576,1
577,100
578,104
579,103
580,103
581,102
582,102
583,103
584,99
585,102
586,1
587,1
588,104
589,104
590,1
591,104
592,102
593,99
594,101
595,101
596,1
597,101
598,107
599,1
600,105
601,1
