Date,LQI
1,1
2,1
3,91
4,1
5,1
6,96
7,104
8,104
9,104
10,102
11,99
12,102
13,102
14,104
15,106
16,101
17,101
18,99
19,103
20,1
21,99
22,105
23,102
24,101
25,102
26,1
27,104
28,102
29,85
30,103
31,1
32,1
33,104
34,102
35,100
36,101
37,1
38,1
39,103
40,104
41,1
42,101
43,100
44,99
45,1
46,1
47,1
48,1
49,1
50,99
51,1
52,1
53,1
54,1
55,99
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,107
67,1
68,1
69,94
70,1
71,92
72,1
73,1
74,1
75,1
76,106
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,106
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,104
111,108
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,105
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,92
150,1
151,1
152,106
153,1
154,105
155,106
156,104
157,1
158,107
159,107
160,105
161,1
162,1
163,1
164,105
165,102
166,1
167,99
168,1
169,101
170,105
171,103
172,94
173,106
174,102
175,104
176,1
177,101
178,103
179,105
180,102
181,105
182,102
183,104
184,102
185,103
186,101
187,101
188,98
189,101
190,102
191,99
192,102
193,103
194,103
195,104
196,102
197,106
198,99
199,57
200,103
201,104
202,101
203,101
204,102
205,102
206,103
207,103
208,103
209,84
210,104
211,104
212,103
213,104
214,102
215,100
216,1
217,104
218,103
219,101
220,104
221,103
222,103
223,103
224,104
225,100
226,104
227,104
228,105
229,105
230,101
231,103
232,102
233,102
234,101
235,98
236,103
237,101
238,103
239,103
240,102
241,98
242,100
243,97
244,103
245,99
246,97
247,104
248,99
249,101
250,104
251,105
252,106
253,104
254,100
255,105
256,100
257,105
258,100
259,105
260,103
261,99
262,100
263,103
264,102
265,97
266,103
267,104
268,104
269,98
270,102
271,103
272,103
273,103
274,102
275,105
276,103
277,101
278,102
279,99
280,103
281,100
282,104
283,103
284,103
285,103
286,101
287,104
288,102
289,102
290,104
291,102
292,104
293,103
294,105
295,104
296,102
297,102
298,103
299,100
300,104
301,104
302,104
303,101
304,97
305,103
306,104
307,98
308,99
309,97
310,101
311,103
312,104
313,101
314,103
315,103
316,103
317,103
318,98
319,106
320,104
321,98
322,94
323,104
324,105
325,105
326,103
327,106
328,102
329,104
330,99
331,98
332,99
333,104
334,102
335,102
336,101
337,103
338,105
339,103
340,104
341,102
342,105
343,100
344,104
345,104
346,102
347,104
348,102
349,104
350,106
351,101
352,104
353,100
354,105
355,103
356,102
357,102
358,103
359,106
360,102
361,104
362,104
363,103
364,102
365,101
366,100
367,102
368,98
369,104
370,104
371,99
372,102
373,103
374,105
375,102
376,104
377,101
378,102
379,101
380,105
381,99
382,100
383,102
384,103
385,100
386,103
387,104
388,104
389,100
390,104
391,106
392,102
393,100
394,103
395,104
396,105
397,87
398,104
399,103
400,106
401,105
402,102
403,100
404,105
405,101
406,100
407,103
408,105
409,104
410,101
411,103
412,102
413,101
414,106
415,101
416,103
417,104
418,101
419,101
420,100
421,103
422,100
423,102
424,102
425,101
426,104
427,102
428,101
429,101
430,102
431,103
432,104
433,104
434,104
435,104
436,104
437,104
438,102
439,104
440,103
441,102
442,96
443,103
444,102
445,103
446,102
447,100
448,103
449,102
450,100
451,103
452,101
453,104
454,104
455,104
456,102
457,98
458,98
459,101
460,101
461,100
462,101
463,104
464,101
465,103
466,99
467,100
468,102
469,102
470,105
471,103
472,102
473,104
474,103
475,104
476,105
477,105
478,104
479,105
480,101
481,104
482,102
483,104
484,101
485,104
486,103
487,105
488,100
489,100
490,105
491,99
492,100
493,103
494,101
495,103
496,101
497,101
498,101
499,101
500,102
501,103
502,103
503,104
504,101
505,103
506,104
507,1
508,100
509,106
510,101
511,105
512,103
513,100
514,103
515,1
516,1
517,105
518,103
519,101
520,104
521,1
522,105
523,103
524,103
525,104
526,103
527,101
528,102
529,104
530,102
531,102
532,106
533,103
534,104
535,102
536,100
537,1
538,104
539,1
540,105
541,102
542,1
543,103
544,103
545,100
546,1
547,103
548,104
549,1
550,102
551,103
552,102
553,1
554,105
555,102
556,102
557,102
558,1
559,1
560,1
561,101
562,101
563,105
564,101
565,102
566,100
567,102
568,1
569,103
570,105
571,102
572,101
573,103
574,102
575,106
576,101
577,101
578,101
579,103
580,103
581,87
582,1
583,104
584,101
585,102
586,98
587,100
588,99
589,104
590,1
591,101
592,104
593,96
594,102
595,1
596,1
597,104
598,96
599,101
600,102
601,1
