Date,LQI
799,106
800,106
801,107
802,104
803,107
804,107
805,90
806,102
807,106
808,107
809,106
810,106
811,104
812,1
813,105
814,107
815,106
816,106
817,107
818,107
819,106
820,106
821,105
822,1
823,107
824,106
825,106
826,108
827,106
828,104
829,105
830,104
831,107
832,103
833,108
834,105
835,106
836,106
837,105
838,107
839,107
840,106
841,1
842,106
843,1
844,106
845,1
846,1
847,1
848,105
849,1
850,106
851,1
852,106
853,104
854,1
855,1
856,103
857,1
858,1
859,107
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,106
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,105
897,104
898,103
899,106
900,105
901,107
902,105
903,107
904,106
905,107
906,107
907,105
908,105
909,106
910,106
911,105
912,106
913,105
914,106
915,107
916,106
917,105
918,104
919,105
920,106
921,107
922,105
923,107
924,106
925,106
926,103
927,107
928,104
929,105
930,107
931,106
932,106
933,107
934,108
935,107
936,107
937,69
938,104
939,107
940,107
941,106
942,105
943,106
944,107
945,107
946,103
947,107
948,106
949,107
950,106
951,98
952,107
953,106
954,104
955,91
956,107
957,107
958,105
959,105
960,106
961,106
962,73
963,89
964,104
965,107
966,106
967,105
968,103
969,107
970,92
971,107
972,106
973,105
974,105
975,105
976,106
977,106
978,101
979,107
980,107
981,106
982,106
983,105
984,107
985,107
986,108
987,107
988,106
989,107
990,108
991,107
992,107
993,107
994,105
995,104
996,105
997,106
998,104
999,107
1000,105
1001,101
1002,107
1003,106
1004,106
1005,107
1006,106
1007,106
1008,107
1009,107
1010,104
1011,106
1012,107
1013,106
1014,107
1015,107
1016,106
1017,107
1018,107
1019,107
1020,107
1021,108
1022,108
1023,108
1024,108
1025,107
1026,106
1027,1
1028,107
1029,1
1030,107
1031,105
1032,107
1033,107
1034,106
1035,106
1036,108
1037,107
1038,107
1039,107
1040,106
1041,108
1042,108
1043,107
1044,104
1045,1
1046,108
1047,108
1048,106
1049,108
1050,108
1051,107
1052,105
1053,108
1054,108
1055,108
1056,106
1057,1
1058,108
1059,108
1060,107
1061,1
1062,108
1063,108
1064,83
1065,107
1066,107
1067,106
1068,108
1069,108
1070,107
1071,107
1072,106
1073,108
1074,107
1075,107
1076,108
1077,108
1078,108
1079,108
1080,106
1081,105
1082,107
1083,1
1084,108
1085,106
1086,105
1087,106
1088,83
1089,104
1090,106
1091,104
1092,108
1093,105
1094,108
1095,105
1096,103
1097,106
1098,107
1099,107
1100,106
1101,107
1102,108
1103,107
1104,107
1105,105
1106,105
1107,108
1108,106
1109,104
1110,107
1111,106
1112,104
1113,107
1114,101
1115,107
1116,106
1117,106
1118,102
1119,108
1120,106
1121,108
1122,107
1123,106
1124,108
1125,108
