Date,LQI
1,1
2,101
3,105
4,82
5,1
6,102
7,99
8,1
9,1
10,101
11,103
12,104
13,105
14,101
15,102
16,102
17,104
18,1
19,103
20,98
21,98
22,100
23,101
24,1
25,1
26,1
27,104
28,103
29,98
30,104
31,107
32,106
33,105
34,1
35,101
36,100
37,101
38,104
39,1
40,101
41,1
42,1
43,102
44,103
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,102
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,106
65,106
66,1
67,1
68,1
69,1
70,1
71,106
72,1
73,106
74,107
75,1
76,105
77,108
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,104
115,1
116,105
117,106
118,75
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,105
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,104
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,105
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,106
154,105
155,105
156,107
157,107
158,106
159,105
160,1
161,1
162,104
163,98
164,101
165,103
166,1
167,102
168,1
169,102
170,103
171,1
172,93
173,103
174,103
175,105
176,104
177,1
178,1
179,1
180,103
181,1
182,100
183,100
184,101
185,1
186,102
187,99
188,1
189,1
190,98
191,1
192,102
193,106
194,100
195,102
196,101
197,102
198,1
199,105
200,97
201,1
202,102
203,102
204,1
205,106
206,105
207,106
208,104
209,105
210,100
211,105
212,103
213,105
214,1
215,102
216,1
217,1
218,1
219,103
220,105
221,1
222,101
223,102
224,100
225,103
226,106
227,103
228,102
229,101
230,101
231,102
232,101
233,103
234,102
235,102
236,105
237,100
238,99
239,102
240,103
241,99
242,99
243,104
244,102
245,107
246,104
247,102
248,98
249,103
250,102
251,101
252,106
253,101
254,103
255,104
256,103
257,98
258,99
259,103
260,101
261,102
262,104
263,102
264,103
265,102
266,103
267,105
268,103
269,103
270,104
271,102
272,105
273,103
274,100
275,103
276,102
277,102
278,105
279,97
280,101
281,104
282,104
283,104
284,104
285,103
286,102
287,104
288,105
289,103
290,100
291,103
292,104
293,103
294,100
295,102
296,105
297,103
298,105
299,102
300,102
301,102
302,106
303,102
